,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
616,META250627P00555000,2025-06-17 13:27:00,555,0.12,0.00,0.00,0.00,0.00%,5.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
617,META250627P00560000,2025-06-17 13:38:00,560,0.13,0.00,0.00,0.00,0.00%,3.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
618,META250627P00565000,2025-06-17 15:41:00,565,0.15,0.00,0.00,0.00,0.00%,3.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
619,META250627P00570000,2025-06-17 15:29:00,570,0.15,0.00,0.00,0.00,0.00%,15.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
620,META250627P00575000,2025-06-17 15:11:00,575,0.21,0.00,0.00,0.00,0.00%,22.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
621,META250627P00580000,2025-06-17 15:58:00,580,0.23,0.00,0.00,0.00,0.00%,34.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
622,META250627P00585000,2025-06-17 15:11:00,585,0.27,0.00,0.00,0.00,0.00%,20.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
623,META250627P00590000,2025-06-17 15:46:00,590,0.31,0.00,0.00,0.00,0.00%,17.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
624,META250627P00595000,2025-06-17 15:18:00,595,0.35,0.00,0.00,0.00,0.00%,14.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
625,META250627P00600000,2025-06-17 15:58:00,600,0.41,0.00,0.00,0.00,0.00%,354.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
626,META250627P00605000,2025-06-17 14:45:00,605,0.49,0.00,0.00,0.00,0.00%,3.0,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
627,META250627P00610000,2025-06-17 15:36:00,610,0.52,0.00,0.00,0.00,0.00%,48.0,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
628,META250627P00615000,2025-06-17 15:55:00,615,0.62,0.00,0.00,0.00,0.00%,46.0,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
