date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
04/30/2020,AMZN,"1,233,971,903,168","1,248,416,903,168",118.204,85.47,1.944,4.217,18.905,,
03/31/2020,AMZN,"972,910,280,000","981,094,280,000",84.734,66.225,1.501,3.503,15.677,,
03/05/2020,AMZN,,"965,986,228,569",,,,,,,
02/29/2020,AMZN,"937,836,483,003","946,020,483,003",81.867,64.103,1.451,3.384,15.112,,
01/31/2020,AMZN,"999,961,795,071","1,008,145,795,071",87.298,68.027,1.553,3.609,16.113,,
12/31/2019,AMZN,"920,224,320,000","936,353,320,000",81.872,58.14,1.321,3.496,16.285,,
11/30/2019,AMZN,"892,831,633,776","908,960,633,776",79.787,56.497,1.287,3.407,15.8,,
10/31/2019,AMZN,"880,863,088,885","896,992,088,885",78.718,53.763,1.226,3.361,15.588,,
09/30/2019,AMZN,"859,275,450,000","876,275,450,000",72,44.843,1.015,3.457,16.194,,
08/31/2019,AMZN,"878,652,532,884","895,652,532,884",73.674,66.225,1.504,3.538,16.559,,
07/31/2019,AMZN,"923,413,955,681","940,413,955,681",77.428,66.667,1.51,3.718,17.403,,
06/30/2019,AMZN,"932,294,220,986","951,871,220,986",79.033,58.824,1.319,3.928,19.324,,
05/31/2019,AMZN,"873,923,365,624","893,500,365,624",74.085,55.249,1.944,3.682,18.053,,
04/30/2019,AMZN,"948,487,013,099","968,064,013,099",80.406,63.694,2.238,3.996,19.593,,
03/31/2019,AMZN,"876,224,084,927","874,761,084,927",88.419,61.728,2.197,3.823,20.118,,
02/28/2019,AMZN,"806,402,379,363","804,939,379,363",81.422,56.818,2.023,3.521,18.517,,
01/31/2019,AMZN,"844,245,143,129","826,490,143,129",85.339,60.241,1.023,3.69,19.386,,
12/31/2018,AMZN,"737,467,270,000","732,386,270,000",84.097,55.866,0.944,3.392,18.849,,
11/30/2018,AMZN,"826,440,105,986","821,359,105,986",94.634,60.606,1.027,3.817,21.123,,
10/31/2018,AMZN,"781,376,757,230","776,295,757,230",89.474,57.471,0.971,3.609,19.971,,
09/30/2018,AMZN,"976,945,601,567","974,533,601,567",158.716,72.993,1.226,4.783,27.989,,
08/31/2018,AMZN,"981,681,568,512","979,269,568,512",159.486,119.048,1.995,4.806,28.052,,
07/31/2018,AMZN,"866,930,698,976","864,518,698,976",140.843,107.527,1.811,4.245,24.773,,
06/30/2018,AMZN,"824,788,691,419","824,465,691,419",214.081,135.135,3,4.355,26.31,,
05/31/2018,AMZN,"790,735,467,296","790,412,467,296",205.242,129.87,2.876,4.175,25.132,,
04/30/2018,AMZN,"759,928,411,161","759,605,411,161",197.246,125,2.773,4.013,24.153,,
03/31/2018,AMZN,"701,392,474,695","708,332,474,695",235.34,144.928,5.813,4.012,25.333,,
02/28/2018,AMZN,"732,945,298,514","739,885,298,514",245.927,166.667,6.612,4.192,26.452,,
01/31/2018,AMZN,"702,386,270,742","702,786,270,742",369.183,161.29,17.853,4.418,28.485,,
