,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
18,2023-12-31,AMZN,1570152607236.0,1642972607236.0,79.55,39.526,2.467,2.851,8.622
17,2024-01-31,AMZN,1612121576363.0,1684941576363.0,81.257,42.919,2.68,2.912,8.811
16,2024-02-29,AMZN,1837806618924.0,1886637618924.0,60.952,41.667,2.388,3.227,9.104
15,2024-03-31,AMZN,1876446969033.0,1925277969033.0,62.2,42.553,2.436,3.293,9.295
14,2024-04-30,AMZN,1821159797625.0,1870771797625.0,49.02,41.494,2.189,3.132,8.406
13,2024-05-31,AMZN,1836145341102.0,1885757341102.0,49.423,37.879,1.883,3.158,8.475
12,2024-06-30,AMZN,2011080747948.0,2060692747948.0,54.132,41.494,2.055,3.459,9.357
11,2024-07-31,AMZN,1962461095409.0,2012073095409.0,52.375,40.0,1.987,3.346,9.058
10,2024-08-31,AMZN,1873458688258.0,1917339688258.0,42.601,38.61,2.164,3.142,7.923
9,2024-09-30,AMZN,1958514630000.0,2002395630000.0,44.47,31.546,1.77,3.28,8.283
8,2024-10-31,AMZN,1959998051891.0,2006639051891.0,39.829,31.646,1.614,3.211,7.563
7,2024-11-30,AMZN,2185965638453.0,2232606638453.0,44.421,33.784,1.732,3.581,8.435
6,2024-12-31,AMZN,2323998270000.0,2370639270000.0,46.878,35.088,1.799,3.779,8.968
