,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
32,2022-10-31,AAPL,2439350814120.0,2523526814120.0,25.097,24.938,2.965,6.349,48.14
31,2022-11-30,AAPL,2354878707540.0,2439054707540.0,24.227,24.039,2.864,6.129,46.473
30,2022-12-31,AAPL,2066941771740.0,2151117771740.0,21.265,21.277,2.533,5.379,40.622
29,2023-01-31,AAPL,2282948588340.0,2367124588340.0,23.615,23.585,2.21,5.974,45.053
28,2023-02-28,AAPL,2332313059860.0,2392068059860.0,25.027,24.938,2.441,6.156,41.115
27,2023-03-31,AAPL,2609038895400.0,2668793895400.0,27.997,27.855,2.788,6.887,45.993
26,2023-04-30,AAPL,2668846155360.0,2728601155360.0,28.808,28.818,2.88,7.086,47.047
25,2023-05-31,AAPL,2787912429500.0,2841655429500.0,30.042,29.851,2.699,7.386,44.852
24,2023-06-30,AAPL,3050896326940.0,3104639326940.0,32.876,29.412,2.663,8.082,49.083
23,2023-07-31,AAPL,3071344876400.0,3125087876400.0,33.297,29.762,2.695,8.186,49.412
22,2023-08-31,AAPL,2937203165840.0,2984001165840.0,31.522,28.249,2.393,7.792,48.731
21,2023-09-30,AAPL,2676736860720.0,2723534860720.0,28.727,25.773,2.18,7.101,44.17
20,2023-10-31,AAPL,2655943459040.0,2702741459040.0,28.653,25.974,2.199,7.083,44.064
19,2023-11-30,AAPL,2954245242400.0,3016620242400.0,30.987,28.818,2.24,7.836,47.537
18,2023-12-31,AAPL,2994371342560.0,3056746342560.0,31.408,29.155,2.307,7.943,47.896
17,2024-01-31,AAPL,2847482856400.0,2909857856400.0,30.082,27.855,2.205,7.607,45.819
16,2024-02-29,AAPL,2791119990750.0,2826059990750.0,28.11,27.701,2.225,7.366,37.667
15,2024-03-31,AAPL,2647973753880.0,2682913753880.0,26.669,26.316,2.111,6.988,35.494
14,2024-04-30,AAPL,2611854187060.0,2646794187060.0,26.49,26.385,2.116,6.941,35.248
13,2024-05-31,AAPL,2947977264500.0,2985417264500.0,29.899,29.326,2.28,7.87,39.733
12,2024-06-30,AAPL,3229664350840.0,3267104350840.0,32.756,28.653,2.229,8.622,43.213
11,2024-07-31,AAPL,3376534744960.0,3413974744960.0,34.538,29.94,2.329,9.091,45.51
10,2024-08-31,AAPL,3481747373000.0,3521250373000.0,34.855,30.488,2.227,9.214,52.194
9,2024-09-30,AAPL,3522211138000.0,3561714138000.0,35.464,30.675,2.236,9.375,52.8
8,2024-10-31,AAPL,3414815573930.0,3456273573930.0,37.156,30.675,2.363,8.902,59.962
7,2024-11-30,AAPL,3587438272590.0,3628896272590.0,39.035,31.847,2.452,9.352,62.993
6,2024-12-31,AAPL,3766499857020.0,3807957857020.0,41.188,33.67,2.29,9.867,66.137
