,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
234,AAPL250627P00182500,2025-06-17 15:58:00,182.5,0.59,0.00,0.00,0.00,0.00%,663.0,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
235,AAPL250627P00185000,2025-06-17 15:59:00,185,0.85,0.00,0.00,0.00,0.00%,1.157,0.0,0.0625,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
236,AAPL250627P00187500,2025-06-17 15:59:00,187.5,1.18,0.00,0.00,0.00,0.00%,1.001,0.0,0.0625,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
237,AAPL250627P00190000,2025-06-17 15:59:00,190,1.68,0.00,0.00,0.00,0.00%,9.597,0.0,0.0313,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
238,AAPL250627P00192500,2025-06-17 15:59:00,192.5,2.35,0.00,0.00,0.00,0.00%,7.312,0.0,0.0313,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
239,AAPL250627P00195000,2025-06-17 15:59:00,195,3.27,0.00,0.00,0.00,0.00%,9.089,0.0,0.0078000000000000005,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
240,AAPL250627P00197500,2025-06-17 15:59:00,197.5,4.40,0.00,0.00,0.00,0.00%,2.298,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
241,AAPL250627P00200000,2025-06-17 15:59:00,200,6.00,0.00,0.00,0.00,0.00%,1.146,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
242,AAPL250627P00202500,2025-06-17 15:58:00,202.5,7.82,0.00,0.00,0.00,0.00%,302.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
243,AAPL250627P00205000,2025-06-17 15:57:00,205,9.79,0.00,0.00,0.00,0.00%,332.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
244,AAPL250627P00207500,2025-06-17 15:59:00,207.5,12.10,0.00,0.00,0.00,0.00%,11.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
245,AAPL250627P00210000,2025-06-17 15:52:00,210,14.55,0.00,0.00,0.00,0.00%,417.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
246,AAPL250627P00212500,2025-06-17 14:45:00,212.5,16.80,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
247,AAPL250627P00215000,2025-06-17 15:45:00,215,19.50,0.00,0.00,0.00,0.00%,159.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
248,AAPL250627P00217500,2025-06-17 12:49:00,217.5,20.40,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
249,AAPL250627P00220000,2025-06-17 11:30:00,220,22.40,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
250,AAPL250627P00222500,2025-06-16 12:10:00,222.5,25.30,0.00,0.00,0.00,0.00%,,,0.0,"Jun 27, 2025",2025-06-27,put,10,2025-06-16,short
251,AAPL250627P00225000,2025-06-16 13:00:00,225,27.30,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,10,2025-06-16,short
252,AAPL250627P00227500,2025-06-17 09:41:00,227.5,30.36,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
253,AAPL250627P00230000,2025-06-17 09:39:00,230,33.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
254,AAPL250627P00235000,2025-06-06 15:53:00,235,30.25,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 27, 2025",2025-06-27,put,20,2025-06-06,medium
